match_id,toss_winner,toss_decision,venue,winner,year,team1,team2
335982,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kolkata Knight Riders,2008,Kolkata Knight Riders,Royal Challengers Bangalore
335983,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,2008,Chennai Super Kings,Punjab Kings
335984,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi Capitals,2008,Rajasthan Royals,Delhi Capitals
335985,Mumbai Indians,bat,Wankhede Stadium,Royal Challengers Bangalore,2008,Mumbai Indians,Royal Challengers Bangalore
335986,Sunrisers Hyderabad,bat,Eden Gardens,Kolkata Knight Riders,2008,Sunrisers Hyderabad,Kolkata Knight Riders
335987,Punjab Kings,bat,Sawai Mansingh Stadium,Rajasthan Royals,2008,Punjab Kings,Rajasthan Royals
335988,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,2008,Sunrisers Hyderabad,Delhi Capitals
335989,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2008,Chennai Super Kings,Mumbai Indians
335990,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,2008,Sunrisers Hyderabad,Rajasthan Royals
335991,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,2008,Punjab Kings,Mumbai Indians
335992,Rajasthan Royals,field,M Chinnaswamy Stadium,Rajasthan Royals,2008,Royal Challengers Bangalore,Rajasthan Royals
335993,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2008,Kolkata Knight Riders,Chennai Super Kings
335994,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,Sunrisers Hyderabad,2008,Mumbai Indians,Sunrisers Hyderabad
335995,Delhi Capitals,bat,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,2008,Delhi Capitals,Punjab Kings
335996,Chennai Super Kings,bat,M Chinnaswamy Stadium,Chennai Super Kings,2008,Chennai Super Kings,Royal Challengers Bangalore
335997,Kolkata Knight Riders,bat,Eden Gardens,Mumbai Indians,2008,Kolkata Knight Riders,Mumbai Indians
335998,Royal Challengers Bangalore,field,Feroz Shah Kotla,Delhi Capitals,2008,Delhi Capitals,Royal Challengers Bangalore
335999,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,2008,Sunrisers Hyderabad,Punjab Kings
336000,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals,2008,Rajasthan Royals,Kolkata Knight Riders
336001,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Delhi Capitals,2008,Chennai Super Kings,Delhi Capitals
